"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,user_interaction,,text,"Record ID",,,,,,,,,,,,,
server_name,user_interaction,"Every Action Data",text,"Server name",,,,,,,,,,,,,
session_id,user_interaction,,text,"Session ID",,,,,,,,,,,,,
action_ts,user_interaction,,text,"Timestamp of user action",,,,,,,,,,,,,
userregion_id,user_interaction,,sql,"Region ID","SELECT a.record,   CONCAT(   max(if(a.field_name = 'region_name', a.value, NULL)),    ' (',   max(if(a.field_name = 'region_code', a.value, NULL)),   ') ' ) as value  FROM redcap_data a  WHERE a.project_id=59099  GROUP BY a.record  ORDER BY value",,,,,,,,,,,,
datarequest_id,user_interaction,,text,"Data Request ID",,,,,,,,,,,,,
toolkituser_id,user_interaction,,text,"Hub User ID (if applicable)",,,,,,,,,,,,,
action_step,user_interaction,"Individual Action Data",dropdown,"Action Step","start, Start session (Entry to Toolkit) | uploaddata, Upload dataset | read_files, Dataset upload complete | dqcomplete, Data quality checks completed | reviewerror, Review errors | errortab, Click on error tab | errordetail, Click on error detail | submitdata, Submit data to cloud | createplot, Create plot | downloadreport, Download report | help, Click help | errormsg, Error message | logout, Click logout | session_end, Session terminated",,,,,,,,,,,,
upload_filenames,user_interaction,"Upload Files Data",notes,Filenames,,,,,,,,,,,,,
upload_filesize,user_interaction,,text,"Upload filesize",,,,,,,,,,,,,
des_variables,user_interaction,"Dataset Upload Complete Data",notes,"IeDEA variables uploaded",,,,,,,,,,,,,
non_des_variables,user_interaction,,notes,"Non-IeDEA variables",,,,,,,,,,,,,
des_tables,user_interaction,,notes,"IeDEA Tables",,,,,,,,,,,,,
non_des_files,user_interaction,,notes,"Non-IeDEA files uploaded",,,,,,,,,,,,,
num_patients,user_interaction,,text,"Number of patients in tblBAS",,,,,,,,,,,,,
programs,user_interaction,,text,"IeDEA Program Names",,,,,,,,,,,,,
error_summary,user_interaction,"Review Errors Data",notes,"Summary of error types found (and quantities)",,,,,,,,,,,,,
errortab_name,user_interaction,,text,"Error Tab name",,,,,,,,,,,,,
viewdetail_count,user_interaction,,text,"View Detail count",,,,,,,,,,,,,
plot_table,user_interaction,"Create Plots Data",text,"Plot Table name",,,,,,,,,,,,,
plot_var1,user_interaction,,text,"Plot Variable 1 name",,,,,,,,,,,,,
plot_var2,user_interaction,,text,"Plot Variable 2 name",,,,,,,,,,,,,
plot_var3,user_interaction,,text,"Plot Variable 3 name",,,,,,,,,,,,,
plot_var4,user_interaction,,text,"Plot Variable 4 name",,,,,,,,,,,,,
report_type,user_interaction,"Download Reports Data",text,"Report type",,,,,,,,,,,,,
report_format,user_interaction,,text,"Report format",,,,,,,,,,,,,
errormsg,user_interaction,"Error Message Data",text,"Detailed message displayed to user",,,,,,,,,,,,,
session_mins,user_interaction,"Session Summary Data",text,"Session length in minutes",,,,,,,,,,,,,
