"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,security_parameters,,text,"Record ID (Security Token for Upload)",,"128 characters",,,,,,,,,,,
uploaduser_id,security_parameters,,text,"User ID",,,,,,,,,,,,,
uploaduser_email,security_parameters,,text,"User email address",,,,,,,,,,,,,
uploaduser_firstname,security_parameters,,text,"User first name",,,,,,,,,,,,,
uploaduser_lastname,security_parameters,,text,"User last name",,,,,,,,,,,,,
uploadregion_id,security_parameters,,text,"Region ID",,,,,,,,,,,,,
datacall_id,security_parameters,,text,"Data Call ID",,,,,,,,,,,,,
uploadhub_token,security_parameters,,text,"User Hub Token",,,,,,,,,,,,,
uploadtoken_ts,security_parameters,,text,"Upload token creation timestamp",,,,,,,,,,,,,
tokenexpiration_ts,security_parameters,,text,"Token expiration",,,,,,,,,,,,,
uploadconcept_id,security_parameters,,text,"Concept (REDCap record id)",,,,,,,,,,,,,
uploadconcept_mr,security_parameters,,text,"Concept MR Number",,,,,,,,,,,,,
uploadconcept_title,security_parameters,,text,"Concept Title",,,,,,,,,,,,,
