"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,faq_item,,text,"Record ID",,,,,,,,,,,,,
help_show_y,faq_item,,yesno,"<div style=""color:black; text-align:center; border: 1px #d35400; background-color: #e67e22; padding:6px; max-width:800px;"">Show this FAQ Item?</div>",,,,,,,,,RH,,,,
help_category,faq_item,,dropdown,"Question Category<div style=""font-weight:lighter;font-style:italic"">Edit this variable in the Online Designer to change the category options. Categories will display top to bottom on the FAQ page.</div>","1, Harmonist Toolkit Platform | 2, IeDEA DES | 3, Data Requests | 4, Data Submission | 5, Toolkit File Uploads | 6, Error Checks | 7, Reports | 8, Graphs | 9, Data Security | 10, User Login",,,,,,,,RH,,,,
help_question,faq_item,,notes,Question,,,,,,,,,LV,,,,
help_answer,faq_item,,notes,"Answer <div style=""font-weight:lighter;font-style:italic"">Text can include basic HTML, including text formatting, links, and lists.</div>",,,,,,,,,LV,,,,
help_document,faq_item,"Supporting Materials (File, Image, Video)",file,"Supporting Document #1<div style=""font-weight:lighter;font-style:italic"">Optional document. Download link will be displayed below the answer text.</div>",,,,,,,,,RH,,,,
help_document2,faq_item,,file,"Supporting Document #2<div style=""font-weight:lighter;font-style:italic"">Optional document. Download link will be displayed below the answer text.</div>",,,,,,,,,RH,,,,
help_image,faq_item,,file,"Supporting Image <div style=""font-weight:lighter;font-style:italic"">Optional image to be displayed below the answer text.</div>",,,,,,,,,RH,,,,
help_videoformat,faq_item,,radio,"Choose Video Format <div style=""font-weight:lighter;font-style:italic"">Optional video to be displayed below the answer text.</div>","1, Video URL | 2, Video embed code / HTML (e.g., Youtube)",,,,,,,,,,,,
help_videolink,faq_item,,text,"Supporting Video Link <div style=""font-weight:lighter;font-style:italic"">Link to hosted video. The FAQ Builder will add the necessary iframe code.</div>",,,,,,,"[help_videoformat] = '1'",,RH,,,,
help_embedcode,faq_item,,notes,"Video Embed Code <div style=""font-weight:lighter;font-style:italic"">HTML iframe code generated by website (e.g., Youtube)</div>",,,,,,,"[help_videoformat] = '2' ",,RH,,,,
