"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,concept_sheet,,text,"Record ID",,,,,,,,,,,,,
header_txt,concept_sheet,,descriptive,"<div style=""color:white; text-align:center; border: 1px #34495e; background-color: #2c3e50;""><h3 style=""margin:0px; padding:10px"">Concept ID & Title</h3></div>",,,,,,,,,,,,,
active_y,concept_sheet,,radio,"<div style=""color:black; text-align:center; border: 1px #d35400; background-color: #e67e22; padding:6px; max-width:800px;"">Active Concept?</div>","Y, Yes|N, No",,,,,,,,RH,,,,
concept_outcome,concept_sheet,,radio,"<div style=""color:black; text-align:center; border: 1px #d35400; background-color: #e67e22; padding:6px; max-width:800px;"">Concept Outcome</div>","1, Complete/Published|2, Discontinued",,,,,,"[active_y] = 'N'",,RH,,,,
lastupdate_d,concept_sheet,,text,"Date of Last Record Update (Manual Field)",,,datetime_ymd,,,,,,RH,,,,
concept_id,concept_sheet,,text,"Concept Sheet ID",,"(e.g., MR002, MR194)",,,,,,y,,,,,
id_note,concept_sheet,,text,"<div style=""padding-left:30px"">ID Note<span style=""font-weight:lighter; font-style:italic""> (Optional)</span></div>",,"(e.g., ""linked to MR053"", ""update of 2015 project"")",,,,,,,,,,,
concept_title,concept_sheet,,notes,"Concept Title",,,,,,,,y,,,,,
revised_y,concept_sheet,,checkbox,"Concept Sheet has been revised","1,",,,,,,,,,,,,
concept_tags,concept_sheet,,checkbox,"<div style=""padding-left:30px"">Concept Tags<span style=""font-weight:lighter; font-style:italic""> (Optional)</span></div>","1, A | 2, B | 3, C",,,,,,,,,,,,
concept_file,concept_sheet,,file,"Concept Sheet Document",,,,,,,,,,,,,
concept_word,concept_sheet,,file,"Concept Sheet Word File (DOC)
<div style=""font-weight:lighter;font-style:italic"">(Used for file archiving only)</div>",,,,,,,,,,,,,
datasop_file,concept_sheet,,file,"Data Request Document (or other Associated File)",,,,,,,,,,,,,
contact_txt,concept_sheet,,descriptive,"<div style=""color:white; text-align:center; border: 1px #3498db; background-color: #2980b9;""><h3 style=""margin:0px; padding:10px"">Contact Person</h3></div>",,,,,,,,,,,,,
contact_note,concept_sheet,,descriptive,"The person(s) listed here will receive the quarterly ""request for status update"" emails. This person is the most suited to receive these emails and may or may not be the actual concept lead. Concept lead(s) and other co-investigators should be listed on the next form.",,,,,,,,,,,,,
contact_link,concept_sheet,,sql,"Contact Person","SELECT a.record,   CONCAT(   max(if(a.field_name = 'firstname', a.value, '')),    ' ',   max(if(a.field_name = 'lastname', a.value, '')),   ' | ',    max(if(a.field_name = 'email', a.value, ''))) as value  FROM redcap_data a  WHERE a.project_id=2128 GROUP BY a.record ORDER BY value",,autocomplete,,,,,,,,,,
contact2_link,concept_sheet,,sql,"Secondary Contact Person","SELECT a.record,   CONCAT(   max(if(a.field_name = 'firstname', a.value, '')),    ' ',   max(if(a.field_name = 'lastname', a.value, '')),   ' | ',    max(if(a.field_name = 'email', a.value, ''))) as value  FROM redcap_data a  WHERE a.project_id=2128 GROUP BY a.record ORDER BY value",,autocomplete,,,,,,,,,,
contact_emailonly,concept_sheet,,text,"Additional Email-only Contact 
<div style=""font-weight:lighter; font-style:italic"">(not linked to Harmonist Hub)</div>",,,email,,,,,,,,,,
details_txt,concept_sheet,,descriptive,"<div style=""color:white; text-align:center; border: 1px #1abc9c; background-color: #16a085;""><h3 style=""margin:0px; padding:10px"">Concept Details</h3></div>",,,,,,,,,,,,,
start_year,concept_sheet,,text,"Start Year of Project",,,integer,,,,,,,,,,
ec_approval_d,concept_sheet,,text,"Concept Approval Date",,,date_ymd,,,,,,,,,,
wg_link,concept_sheet,,sql,"Primary Working Group<span style=""font-weight:lighter; font-style:italic"">","SELECT a.record, CONCAT( max(if(a.field_name = 'group_name', a.value, '')), ' (', max(if(a.field_name = 'group_abbr', a.value, '')), ') ' ) as value FROM redcap_data a WHERE a.project_id=2129 GROUP BY a.record ORDER BY value",,,,,,,,,,,,
wg2_link,concept_sheet,,sql,"Secondary Working Group<span style=""font-weight:lighter; font-style:italic"">","SELECT a.record, CONCAT( max(if(a.field_name = 'group_name', a.value, '')), ' (', max(if(a.field_name = 'group_abbr', a.value, '')), ') ' ) as value FROM redcap_data a WHERE a.project_id=2129 GROUP BY a.record ORDER BY value",,,,,,,,,,,,
wg3_link,concept_sheet,,sql,"Third Working Group<span style=""font-weight:lighter; font-style:italic"">","SELECT a.record, CONCAT( max(if(a.field_name = 'group_name', a.value, '')), ' (', max(if(a.field_name = 'group_abbr', a.value, '')), ') ' ) as value FROM redcap_data a WHERE a.project_id=2129 GROUP BY a.record ORDER BY value",,,,,,,,,,,,
wg4_link,concept_sheet,,sql,"Fourth Working Group<span style=""font-weight:lighter; font-style:italic"">","SELECT a.record, CONCAT( max(if(a.field_name = 'group_name', a.value, '')), ' (', max(if(a.field_name = 'group_abbr', a.value, '')), ') ' ) as value FROM redcap_data a WHERE a.project_id=2129 GROUP BY a.record ORDER BY value",,,,,,,,,,,,
lead_region,concept_sheet,,sql,"Research Group of Concept Leader","SELECT a.record,   CONCAT(   max(if(a.field_name = 'region_name', a.value, NULL)),    ' (',   max(if(a.field_name = 'region_code', a.value, NULL)),   ') ' ) as value  FROM redcap_data a  WHERE a.project_id=2127 GROUP BY a.record  ORDER BY value",,,,,,,,,,,,
people_txt,participants,,descriptive,"<div style=""color:white; text-align:center; border: 1px #3498db; background-color: #2980b9;""><h3 style=""margin:0px; padding:10px"">Key Participant or Author</h3></div>",,,,,,,,,,,,,
person_role,participants,,dropdown,"Role in Project","1, Concept Lead (or co-Lead) | 2, Senior Author | 3, Statistician | 4, Data Manager | 5, Investigator/Regional Representative | 6, Other",,,,,,,,,,,,
person_link,participants,,sql,"Person (SQL link to Persons Project)","SELECT a.record,   CONCAT(   max(if(a.field_name = 'firstname', a.value, '')),    ' ',   max(if(a.field_name = 'lastname', a.value, '')),   ' | ',    max(if(a.field_name = 'email', a.value, ''))) as value  FROM redcap_data a  WHERE a.project_id=2128 GROUP BY a.record ORDER BY value",,autocomplete,,,,,,,,,,
notiedeaperson,participants,,checkbox,,"1, The person I want to add is not in the Hub Users list.",,,,,,,,LV,,,," @HIDDEN"
person_other,participants,,text,"<div style=""padding-left:30px; color:#333333"">Other (non-Consortia) Contact
<span style=""font-weight:lighter; font-style:italic"">(For Consortium members, please <a href=""https://redcap.vumc.org/redcap_v7.2.2/DataEntry/record_home.php?pid=59097"">add them to the Persons Project</a> instead and they will then appear in the dropdown list.)</span></div>",,,,,,,"[notiedeaperson(1)] = '1'",,,,,,
nothubuser,participants,,checkbox,,"1, The person I want to add is not in the Hub Users list.",,,,,,,,LV,,,,
participant_firstname,participants,,text,"First Name",,,,,,,"[nothubuser] = '1'",,,,,,
participant_lastname,participants,,text,"Last Name",,,,,,,"[nothubuser] = '1'",,,,,,
participant_email,participants,,text,"Email Address",,,email,,,,"[nothubuser] = '1'",,,,,,
participant_note,participants,,text,"Note about participant",,,,,,,,,,,,,
adminupdate_d,admin_update,,text,"Date of update",,,date_ymd,,,,,,,,,,
admin_status,admin_update,,dropdown,Status,"1, Not approved | 2, Approved | 3, In development | 4, Submitted to journal | 5, Published",,,,,,,,,,,,
admin_update,admin_update,,notes,"Admin update on project:",,,,,,,,,LV,,,,
adminupdate_file,admin_update,,file,"Associated file",,,,,,,,,,,,,
update_request,project_update_survey,,descriptive,"Hello [configuration_arm_1][first_name], 
Please submit a <u>brief status report</u> on the following project for the upcoming Quarterly Project Review:<div class='blue'><p style=""text-indent:50px;""><strong>[configuration_arm_1][project_title]</strong></p></div>We will use this info to report to the consortium.",,,,,,,,,,,,,
update_d,project_update_survey,,text,"Date of update",,,date_ymd,,,,,,,,,," @TODAY @READONLY"
project_status,project_update_survey,,radio,"Current Project Status
<div style=""font-weight:lighter"">Please select the <b>most recent</b> status that applies to your concept sheet.</div>","1, Approved | 2, Data requested | 3, Data analysis | 4, Abstract submitted | 5, Abstract accepted | 6, Manuscript submitted | 7, Manuscript under revision | 8, Published",,,,,,,,LV,,,,
project_update,project_update_survey,,notes,"Please give a 2-3 sentence update on this project.<div style=""font-weight:lighter"">This can include updates on data collection, preparation, and analysis; work on abstracts or manuscripts; writing group meetings; journal/conference submissions; or waiting periods (to receive data, to hear from reviewers, etc.)</div>",,,,,,,,,LV,,,,
