"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,quick_links_section,,text,"Record ID",,,,,,,,,,,,,
links_sectionhead,quick_links_section,,text,"Quick Links Section Header",,,,,,,,,RH,,,,
links_sectionorder,quick_links_section,,text,"Section Order(decimals ok)",,,number,,,,,,RH,,,,
links_sectionicon,quick_links_section,,dropdown,"Quick Links Section Icon(using FontAwesome 4 Icons)","1, fa-cogs | 2, fa-database | 3, fa-globe | 4, fa-map-marker | 5, fa-star | 6, fa-comment | 7, fa-bug | 8, fa-info",,,,,,,,,,,,
links_text1,quick_links_section,"Quick Link 1",text,"Link Text",,,,,,,,,RH,,,,
links_link1,quick_links_section,,text,URL,,,,,,,,,RH,,,,
links_stay1,quick_links_section,,checkbox,"Stay in page?","1, Yes",,,,,,,,,,,,
links_text2,quick_links_section,"Quick Link 2",text,"Link Text",,,,,,,,,RH,,,,
links_link2,quick_links_section,,text,URL,,,,,,,,,RH,,,,
links_stay2,quick_links_section,,checkbox,"Stay in page?","1, Yes",,,,,,,,,,,,
links_text3,quick_links_section,"Quick Link 3",text,"Link Text",,,,,,,,,RH,,,,
links_link3,quick_links_section,,text,URL,,,,,,,,,RH,,,,
links_stay3,quick_links_section,,checkbox,"Stay in page?","1, Yes",,,,,,,,,,,,
links_text4,quick_links_section,"Quick Link 4",text,"Link Text",,,,,,,,,RH,,,,
links_link4,quick_links_section,,text,URL,,,,,,,,,RH,,,,
links_stay4,quick_links_section,,checkbox,"Stay in page?","1, Yes",,,,,,,,,,,,
links_text5,quick_links_section,"Quick Link 5",text,"Link Text",,,,,,,,,RH,,,,
links_link5,quick_links_section,,text,URL,,,,,,,,,RH,,,,
links_stay5,quick_links_section,,checkbox,"Stay in page?","1, Yes",,,,,,,,,,,,
links_text6,quick_links_section,"Quick Link 6",text,"Link Text",,,,,,,,,RH,,,,
links_link6,quick_links_section,,text,URL,,,,,,,,,RH,,,,
links_stay6,quick_links_section,,checkbox,"Stay in page?","1, Yes",,,,,,,,,,,,
links_text7,quick_links_section,"Quick Link 7",text,"Link Text",,,,,,,,,RH,,,,
links_link7,quick_links_section,,text,URL,,,,,,,,,RH,,,,
links_stay7,quick_links_section,,checkbox,"Stay in page?","1, Yes",,,,,,,,,,,,
links_text8,quick_links_section,"Quick Link 8",text,"Link Text",,,,,,,,,RH,,,,
links_link8,quick_links_section,,text,URL,,,,,,,,,RH,,,,
links_stay8,quick_links_section,,checkbox,"Stay in page?","1, Yes",,,,,,,,,,,,
links_text9,quick_links_section,"Quick Link 9",text,"Link Text",,,,,,,,,RH,,,,
links_link9,quick_links_section,,text,URL,,,,,,,,,RH,,,,
links_stay9,quick_links_section,,checkbox,"Stay in page?","1, Yes",,,,,,,,,,,,
links_text10,quick_links_section,"Quick Link 10",text,"Link Text",,,,,,,,,RH,,,,
links_link10,quick_links_section,,text,URL,,,,,,,,,RH,,,,
links_stay10,quick_links_section,,checkbox,"Stay in page?","1, Yes",,,,,,,,,,,,
deadline_text1,deadlines,"Deadline 1",text,"Deadline Text<div style=""font-weight: lighter; font-style: italic"">Text should be short and one line long. (e.g., EC circulation deadline for CROI; IWHOD submission deadline, 12pm US Eastern.)</div>",,,,,,,,,,,,,
deadline_date1,deadlines,,text,"Deadline Date",,,date_ymd,,,,,,,,,,
deadline_text2,deadlines,"Deadline 2",text,"Deadline Text",,,,,,,,,,,,,
deadline_date2,deadlines,,text,"Deadline Date",,,date_ymd,,,,,,,,,,
deadline_text3,deadlines,"Deadline 3",text,"Deadline Text",,,,,,,,,,,,,
deadline_date3,deadlines,,text,"Deadline Date",,,date_ymd,,,,,,,,,,
deadline_text4,deadlines,"Deadline 4",text,"Deadline Text",,,,,,,,,,,,,
deadline_date4,deadlines,,text,"Deadline Date",,,date_ymd,,,,,,,,,,
deadline_text5,deadlines,"Deadline 5",text,"Deadline Text",,,,,,,,,,,,,
deadline_date5,deadlines,,text,"Deadline Date",,,date_ymd,,,,,,,,,,
deadline_text6,deadlines,"Deadline 6",text,"Deadline Text",,,,,,,,,,,,,
deadline_date6,deadlines,,text,"Deadline Date",,,date_ymd,,,,,,,,,,
announce_text1,announcements,"Announcement 1",notes,"Announcement Text<div style=""font-weight: lighter; font-style: italic"">Announcement text can contain basic HTML (bold, italics, URLs in href tags).</div>",,,,,,,,,RH,,,,
announce_text2,announcements,"Announcement 2",notes,"Announcement Text",,,,,,,,,RH,,,,
announce_text3,announcements,"Announcement 3",notes,"Announcement Text",,,,,,,,,RH,,,,
announce_text4,announcements,"Announcement 4",notes,"Announcement Text",,,,,,,,,RH,,,,
announce_text5,announcements,"Announcement 5",notes,"Announcement Text",,,,,,,,,RH,,,,
announce_text6,announcements,"Announcement 6",notes,"Announcement Text",,,,,,,,,RH,,,,
