"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,person_information,,text,"Record ID",,,,,,,,,,,,,
active_y,person_information,,radio,"<div style=""color:black; text-align:center; border: 1px #d35400; background-color: #e67e22; padding:6px; max-width:800px;"">Active User Account?</div>","1, Yes | 0, No",,,,,,,,RH,,,," @HIDDEN-SURVEY"
inactive_d,person_information,,text,"Inactive date",,,datetime_seconds_ymd,,,,"[active_y] = '0'",,,,,,
user_surveyheader,person_information,,descriptive,"<div style=""color:white; text-align:center; border: 1px #34495e; background-color: #2c3e50;""><h3 style=""margin:0px; padding:10px"">New User Information</h3></div>",,,,,,,,,,,,," @HIDDEN-FORM"
user_formheader,person_information,,descriptive,"<div style=""color:white; text-align:center; border: 1px #34495e; background-color: #2c3e50;""><h3 style=""margin:0px; padding:10px"">Required User Information</h3></div>",,,,,,,,,,,,," @HIDDEN-SURVEY"
firstname,person_information,,text,"First name",,,,,,,,,,,,,
lastname,person_information,,text,"Last name",,,,,,,,,,,,,
email,person_information,,text,"Email address",,,email,,,,,,,,,,
person_region,person_information,,sql,"IeDEA Region","SELECT a.record,   CONCAT(   max(if(a.field_name = 'region_name', a.value, NULL)),    ' (',   max(if(a.field_name = 'region_code', a.value, NULL)),   ') ' ) as value  FROM redcap_data a  WHERE a.project_id=59099  GROUP BY a.record  ORDER BY value",,autocomplete,,,,,,,,,,
useraccess_header,person_information,,descriptive,"<div style=""color:white; text-align:center; border: 1px #34495e; background-color: #2c3e50;""><h3 style=""margin:0px; padding:10px"">IeDEA Hub Access</h3></div>",,,,,,,,,,,,,
harmonist_regperm,person_information,,radio,"IeDEA Hub Permissions
<div style=""font-weight:lighter;font-style:italic"">What permissions should this user have on the Hub?</div>","0, No Access | 1, View-only access | 2, Submit comments for the region (key investigator access) | 3, Vote for the region (PI-level access)",,,,,,,,,,,,
requestor_name,person_information,"Who is making this New User Request?",text,"Your name",,,,,,,,,,,,,
userrequest_detail,person_information,,notes,"Additional detail about the request",,,,,,,,,,,,,
do_not_use,person_information,,text,"I want to put these in the project, but don't want to take the risk of emailing any of these people by mistake.",,,,,,,,,,,,," @HIDDEN-SURVEY"
