"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,study_description,,text,"Record ID",,,,,,,,,,,,,
study_header,study_description,,descriptive,"<div style=""color:white; text-align:center; border: 1px #34495e; background-color: #2c3e50;""><h3 style=""margin:0px; padding:10px"">Study or Project Details</h3></div>",,,,,,,,,,,,,
study_txt,study_description,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: left;""><span style=""font-weight: normal;""><em>All fields below can apply to Studies or Projects conducted by this Research Consortium. Studies or Projects might be non-research initiatives, or overarching projects that result in multiple Concept Sheets, or projects that have separate document and milestone tracking needs. </em></span><em>Concept Sheets should be tracked separately in the Harmonist Hub: Concept Sheets (1) project.</em></p></div>",,,,,,,,,,,,," @HIDDEN-SURVEY"
study_project,study_description,,radio,"Is this a Study or a Project?","1, Study|2, Project",,,,,,,,,,,,
study_name,study_description,,text,"[study_project] name (short name or abbreviation)",,,,,,,,,,,,,
study_fullname,study_description,,text,"[study_project] full name",,,,,,,,,,,,,
study_type,study_description,,dropdown,"[study_project] type","1, Prospective study|2, Retrospective study|3, Survey|4, Tool development|99, Other",,,,,,,,,,,,
study_status,study_description,,dropdown,"[study_project] status","1, Planning|2, Recruitment|3, Follow-up|6, Data collection ongoing|7, Data collection complete|8, Ended - data available|9, Ended - data not available|99, Other",,,,,,,,,,,,
study_summary,study_description,,notes,"<div class=""rich-text-field-label""><p>Brief summary of [study_project]</p> <p><span style=""font-weight: normal;""><em>Summarize the aims and data collection plan of the study in 2-3 sentences.</em></span></p></div>",,,,,,,,,,,,,
study_inclusion,study_description,,notes,"<div class=""rich-text-field-label""><p>Inclusion / exclusion criteria</p> <p><em><span style=""font-weight: normal;"">(optional) Provide a brief description of the inclusion/exclusion criteria for this study.</span></em></p></div>",,,,,,,,,,,,,
