"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
request_id,request,,text,"Request ID",,,,,,,,,,,,,
request_type,request,"Request Submission Form",dropdown,"What are you submitting for EC review?","1, Concept Sheet | 2, Abstract | 3, Manuscript | 4, Poster | 5, Fast Track | 9, Data Request | 99, Other",,,,,,,y,LV,,,," @HIDECHOICE='9'"
version_txt,request,,descriptive,"<div class=""blue"">Check that you are using the <b>most recent version of the Concept Sheet template</b>. You can find the current template file on the public IeDEA site: <a href=""https://www.iedea.org/resources/"">https://www.iedea.org/resources/</a></div>",,,,,,,"[request_type] = '1'",,,,,,
request_conf,request,,text,"What conference are you submitting to? 
<div style=""font-weight:lighter;font-style:italic"">(if applicable, e.g., IAS, CROI, IWHOD)</div>",,,,,,,"[request_type] = '2' or [request_type] = '4' or [request_type] = '99'",,LV,,,,
concept_category,request,,radio,"Is this a new concept proposal or is it an extension of a previously approved IeDEA concept?","1, New concept | 2, Extension of previous concept",,,,,,"[request_type] = '1'",,LV,,,,
assoc_concept,request,,sql,"Associated concept
<div style=""font-weight:lighter;font-style:italic"">(Typing words from the concept title will filter the list. Select MR000 for no concept mapping.)</div>","SELECT a.record, CONCAT(a.value, ' | ', b.value) FROM (SELECT record, value FROM redcap_data WHERE project_id = 58325 AND field_name = 'concept_id') a JOIN (SELECT record, value FROM redcap_data where project_id = 58325 and field_name = 'concept_title') b ON b.record=a.record ORDER BY a.value DESC, b.value",,autocomplete,,,,"[concept_category] <> '1'",,LV,,,,
wg_y,request,"Working Group",yesno,"Is there an IeDEA Working Group associated with this concept?",,,,,,,,,LV,,,,
wg_name,request,,sql,"Which IeDEA Working Group?","SELECT a.record, CONCAT( max(if(a.field_name = 'group_name', a.value, '')), ' (', max(if(a.field_name = 'group_abbr', a.value, '')), ') ' ) as value FROM redcap_data a WHERE a.project_id=62646 GROUP BY a.record ORDER BY value",,,,,,"[wg_y] = '1'",,LV,,,,
wg2_name,request,,sql,"Secondary Working Group (if applicable)","SELECT a.record, CONCAT( max(if(a.field_name = 'group_name', a.value, '')), ' (', max(if(a.field_name = 'group_abbr', a.value, '')), ') ' ) as value FROM redcap_data a WHERE a.project_id=62646 GROUP BY a.record ORDER BY value",,,,,,"[wg_y] = '1'",,LV,,,,
wg_status,request,,radio,"Has the Working Group reviewed this document?","1, Yes, they have reviewed and approved. | 2, They are currently reviewing. | 3, No",,,,,,"[wg_y] = '1'",,LV,,,,
wg_noreview,request,,notes,"Why has the Working Group not reviewed the document?",,,,,,,"[wg_status] = '3'",,LV,,,,
writeg_y,request,"Writing Group",yesno,"Is there a Writing Group associated with this concept?",,,,,,,"[request_type] = '2' or [request_type] = '3' or [request_type] = '99' or [request_type] = '4'",,LV,,,,
writeg_status,request,,radio,"Has the Writing Group reviewed this document?","1, Yes, they have reviewed and approved. | 2, They are currently reviewing. | 3, No",,,,,,"[writeg_y] = '1'",,LV,,,,
writeg_noreview,request,,notes,"Why has the Writing Group not reviewed the document?",,,,,,,"[writeg_status] = '3'",,LV,,,,
confirm_content,request,"Document Contents",radio,"Does your document include the following items?

(1) Author names
(2) Author affiliations
(3) Acknowledgments
(4) Grant numbers","1, Yes | 0, No | 9, Not applicable",,,,,,"[request_type] = '2' or [request_type] = '3' or [request_type] = '4'",,LV,,,," @HIDDEN"
document_items,request,,descriptive,"Does your document include the following items?",,,,,,,"[request_type] = '2' or [request_type] = '3' or [request_type] = '4'",,,,,,
authors,request,,radio,"Author Names:","1, Complete | 2, Incomplete | 3, Not applicable",,,,,,"[request_type] = '2' or [request_type] = '3' or [request_type] = '4'",,LV,,,,
authors_incomplete,request,,notes,"Please explain why the author list is incomplete:",,,,,,,"[authors] = '2'",,LV,,,,
affiliations,request,,radio,"Author affiliations:","1, Complete | 2, Incomplete | 3, Not applicable",,,,,,"[request_type] = '2' or [request_type] = '3' or [request_type] = '4'",,LV,,,,
affiliations_incomplete,request,,notes,"Please explain why the author affiliations are incomplete:",,,,,,,"[affiliations] = '2'",,LV,,,,
acknowlegements,request,,radio,"Acknowledgements:

For an abstract: Inclusion of ""IeDEA"" as a co-author; e.g., ""...on behalf of IeDEA""
For a manuscript or poster: Inclusion of standard funding and investigator/ leadership acknowledgements.
","1, Complete | 2, Incomplete | 3, Not applicable",,,,,,"[request_type] = '2' or [request_type] = '3' or [request_type] = '4'",,LV,,,,
acknowledgements_incomplete,request,,notes,"Please explain why the acknowledgements are incomplete:",,,,,,,"[acknowlegements] = '2'",,LV,,,,
grant_numbers,request,,radio,"Grant numbers:","1, Complete | 2, Incomplete | 3, Not Applicable",,,,,,"[request_type] = '2' or [request_type] = '3' or [request_type] = '4'",,LV,,,,
grant_numbers_incomplete,request,,notes,"Please explain why the grant numbers are incomplete:",,,,,,,"[grant_numbers] = '2'",,LV,,,,
content_warning,request,,descriptive,"<div class='red'><strong>The EC needs to review these fields in order to approve a publication. </strong> Please revise your document to include this information, or upload a second document below that includes this information.</div>",,,,,,,"[confirm_content] = '0'",,,,,,
editable_txt,request,"Request File(s)",descriptive,"<div class='blue'>Please upload a copy of your file in <strong>editable format</strong> (e.g., MS Word for Concept Sheets and Manuscripts, MS PowerPoint for Slides and Posters).</div>",,,,,,,,,,,,,
request_file,request,,file,"Upload your [request_type] file
<div style=""font-weight:lighter;font-style:italic"">If the file is associated with a concept, rename the file to include the concept number at the beginning of the filename. <br />(e.g., MR001_abstract_Jan2017.docx)</div>",,,,,,,,y,LV,,,,
extra_file1,request,,file,"Extra file #1
<div style=""font-weight:lighter;font-style:italic"">Optional file upload for additional documents, separate manuscript tables (if applicable), etc.</div>",,,,,,,,,LV,,,,
extra_file2,request,,file,"Extra file #2
",,,,,,,"[extra_file1] <> ''",,LV,,,,
extra_file3,request,,file,"Extra file #3
",,,,,,,"[extra_file2] <> ''",,LV,,,,
extra_file4,request,,file,"Extra file #4
",,,,,,,"[extra_file3] <> ''",,LV,,,,
extra_file5,request,,file,"Extra file #5
",,,,,,,"[extra_file4] <> ''",,LV,,,,
extra_file6,request,,file,"Extra file #6
",,,,,,,"[extra_file5] <> ''",,LV,,,,
request_title,request,"Request Description",notes,"Title of your [request_type] document
<div style=""font-weight:lighter;font-style:italic"">Copy and paste the full title of your concept sheet proposal, manuscript, abstract, or other submission. This title will be used to identify your request for the EC. (e.g.,  Site Capacity to Screen, Prevent, Diagnose, and Manage NCDs in Low- to Middle-Income Countries.)</div>",,,,,,,,y,LV,,,,
request_description,request,,notes,"Description of request / Message to the EC
<div style=""font-weight:lighter;font-style:italic"">(This text will be displayed to the EC reviewers.)</div>",,,,,,,,,LH,,,,
contact_txt,request,"Request Contact Person",descriptive,"<div style=""font-weight:lighter;"">This person will be listed as the point of contact for the request and any resulting responses. <br />Please designate one person.</div>",,,,,,,,,,,,,
contact_name,request,,text,"Contact name",,,,,,,,y,LV,,,,
contact_email,request,,text,"Contact email",,,email,,,,,y,LV,,,,
contact_region,request,,sql,"IeDEA Region","SELECT a.record,   CONCAT(   max(if(a.field_name = 'region_name', a.value, NULL)),    ' (',   max(if(a.field_name = 'region_code', a.value, NULL)),   ') ' ) as value  FROM redcap_data a  WHERE a.project_id=59099  GROUP BY a.record  ORDER BY value",,,,,,,y,LV,,,,
nextsteps_txt,request,"Next Steps",descriptive,"<div style=""font-weight:lighter"">Once you submit this request, the Contact Person named above will receive a confirmation email. The IeDEA Coordinating Team also will receive an automatic email notification of a new request submission.
<br />Next, your request will be reviewed and processed. <b>The IeDEA Coordinating Team will assign a due date to your request based on IeDEA review protocols</b> (e.g., 14 days for manuscripts).  
<br /><b>The Contact Person will be copied once the Request is approved.</b></div>",,,,,,,,,,,,,
suggest_d,request,,text,"Suggested due date for request",,,date_ymd,,,,,,LV,,,,
contactnotification_y,request,,checkbox,"Receive email notifications when EC reviewers post comments, files, and votes on your request?
<div style=""font-weight:lighter;font-style:italic"">(Only available if [contact_email] matches an active Hub account.)</div>","1, Yes",,,,,,,,LV,,,," @HIDDEN @DEFAULT='1'"
request_txt,request,,notes,"Private message for IeDEA Hub Admins
<div style=""font-weight:lighter;font-style:italic"">(Optional comments for the admins who will review the request. These comments will not be displayed to the EC.) </div>",,,,,,,,,LV,,,,
request_summary,admin_review,"Request Summary",descriptive,"<div style=""font-weight:lighter""><b>Contact Person:</b> 
[contact_name], <a href=""mailto:[contact_email]"">[contact_email]</a>

<b>Review Type:</b> 
[request_type]

<b>Request Description:</b>
 [request_description]

<b>Message to Admins:</b>
 [request_txt]

<b>User-suggested Due Date</b> (if applicable): 
[suggest_d]
</div>",,,,,,,,,,,,,
contactperson_id,admin_review,"Confirm this Setting",sql,"Contact Person:
<span style=""font-weight:lighter;"">[contact_name], <a href=""mailto:[contact_email]"">[contact_email]</a></span>

If blank, map this person to official IeDEA List
<div style=""font-weight:lighter;font-style:italic"">(Find the name above in the official list. If it doesn't exist, you can add this person (<a href=""https://redcap.vanderbilt.edu/redcap_v8.2.1/DataEntry/record_home.php?pid=59097"">via REDCap</a>) or list their PI's name instead.)</div>","SELECT a.record,   CONCAT(   max(if(a.field_name = 'firstname', a.value, '')),    ' ',   max(if(a.field_name = 'lastname', a.value, '')),   ' | ',    max(if(a.field_name = 'email', a.value, ''))) as value  FROM redcap_data a  WHERE a.project_id=59097 GROUP BY a.record ORDER BY value",,autocomplete,,,,,,LV,,,,
admin_txt,admin_review,,descriptive,"<div style=""color:white; text-align:center; border: 1px #34495e; background-color: #2c3e50;""><h3 style=""margin:0px; padding:10px"">Complete Fields Below</h3></div>",,,,,,,,,,,,,
reviewer_id,admin_review,,sql,"Reviewer Username","SELECT a.record, CONCAT(a.value, ' ', b.value) as value FROM (SELECT record, value FROM redcap_data WHERE project_id = 59097 AND field_name = 'firstname') a JOIN (SELECT record, value FROM redcap_data where project_id = 59097 and field_name = 'lastname') b ON b.record=a.record JOIN (SELECT record, value from redcap_data where project_id = 59097 and field_name = 'harmonistadmin_y' and value = 1) c ON c.record=a.record ORDER BY a.value, b.value",,,,,,,,LV,,,," @DEFAULT='11'"
due_d,admin_review,,text,"Assign due date for EC review",,,date_ymd,,,,,y,LV,,,," @DEFAULT='[suggest_d]'"
admin_internal_notes,admin_review,,notes,"Internal Tracking Notes 
<div style=""font-weight:lighter;font-style:italic"">(Admin reference only)</div>",,,,,,,,,LV,,,,
