"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,tblcenter,,text,"Record ID",,,,,,,,,,,,,
last_reviewed_d,tblcenter,,text,"Last Reviewed Date 
<div style=""font-weight:lighter;font-style:italic"">Date when this center's data was last reviewed and/or updated</div>",,,date_ymd,,,,,,,,,,
tblcenter_txt,tblcenter,,descriptive,"<div style=""color:white; text-align:center; border: 1px #34495e; background-color: #2c3e50;""><h3 style=""margin:0px; padding:10px"">CENTER Record</h3></div>",,,,,,,,,,,,,
region,tblcenter,"<div style=""font-weight:lighter"">This record represents a unique data site/unique physical location of care -- active or formerly active -- in the IeDEA network. The fields below collect the <u><a target=""_blank"" href=""https://redcap.vanderbilt.edu/plugins/iedea/des/index.php?pid=64149&tid=5&page=variables&deprecated=false&draft=false"">variables in tblCENTER</a></u> of the IeDEA Data Exchange Standard. </div>",dropdown,"REGION
<div style=""font-weight:lighter;font-style:italic"">IeDEA global region</div>","AP, Asia-Pacific | NA, NA-ACCORD (North America) | CN, CCASAnet (Latin America) | CA, Central Africa | EA, East Africa | SA, Southern Africa | WA, West Africa","Values: AP, EA, SA, WA, CA, CN, NA",,,,,,,,,,,
center,tblcenter,,text,"CENTER
<div style=""font-weight:lighter;font-style:italic"">Code for Clinic/Centre/Hospital where patient is seen.
Needs to be unique within each region.</div>",,,,,,,,,,,,,
name,tblcenter,,text,"NAME
<div style=""font-weight:lighter;font-style:italic"">Proper name to identify center</div>",,,,,,,,,,,,,
program,tblcenter,,text,"PROGRAM
<div style=""font-weight:lighter;font-style:italic"">Care program with which the center is associated (if applicable)</div>",,,,,,,,,,,,,
adultped,tblcenter,,dropdown,"ADULTPED
<div style=""font-weight:lighter;font-style:italic"">Population the center serves</div>","ADULT, Adults (ADULT) | PED, Children (PED) | BOTH, Adults and children (BOTH)",,,,,,,,,,,,
rural,tblcenter,,dropdown,"RURAL
<div style=""font-weight:lighter;font-style:italic"">Facility location</div>","1, Urban | 2, Mostly urban | 3, Mostly rural | 4, Rural | 9, Unknown",,,,,,,,,,,,
level,tblcenter,,dropdown,"LEVEL
<div style=""font-weight:lighter;font-style:italic"">Facility level of care</div>","1, Health centre | 2, District hospital | 3, Regional, provincial or university hospital | 9, Unknown",,,,,,,,,,,,
country,tblcenter,"Site Location",dropdown,COUNTRY,"AFG, Afghanistan | ALA, Åland Islands | ALB, Albania | DZA, Algeria | ASM, American Samoa | AND, Andorra | AGO, Angola | AIA, Anguilla | ATA, Antarctica | ATG, Antigua and Barbuda | ARG, Argentina | ARM, Armenia | ABW, Aruba | AUS, Australia | AUT, Austria | AZE, Azerbaijan | BHS, Bahamas (the) | BHR, Bahrain | BGD, Bangladesh | BRB, Barbados | BLR, Belarus | BEL, Belgium | BLZ, Belize | BEN, Benin | BMU, Bermuda | BTN, Bhutan | BOL, Bolivia (Plurinational State of) | BES, Bonaire, Sint Eustatius and Saba | BIH, Bosnia and Herzegovina | BWA, Botswana | BVT, Bouvet Island | BRA, Brazil | IOT, British Indian Ocean Territory (the) | BRN, Brunei Darussalam | BGR, Bulgaria | BFA, Burkina Faso | BDI, Burundi | CPV, Cabo Verde | KHM, Cambodia | CMR, Cameroon | CAN, Canada | CYM, Cayman Islands (the) | CAF, Central African Republic (the) | TCD, Chad | CHL, Chile | CHN, China | CXR, Christmas Island | CCK, Cocos (Keeling) Islands (the) | COL, Colombia | COM, Comoros (the) | COD, Congo (the Democratic Republic of the) | COG, Congo (the) | COK, Cook Islands (the) | CRI, Costa Rica | CIV, Côte d'Ivoire | HRV, Croatia | CUB, Cuba | CUW, Curaçao | CYP, Cyprus | CZE, Czechia | DNK, Denmark | DJI, Djibouti | DMA, Dominica | DOM, Dominican Republic (the) | ECU, Ecuador | EGY, Egypt | SLV, El Salvador | GNQ, Equatorial Guinea | ERI, Eritrea | EST, Estonia | SWZ, Eswatini | ETH, Ethiopia | FLK, Falkland Islands (the) [Malvinas] | FRO, Faroe Islands (the) | FJI, Fiji | FIN, Finland | FRA, France | GUF, French Guiana | PYF, French Polynesia | ATF, French Southern Territories (the) | GAB, Gabon | GMB, Gambia (the) | GEO, Georgia | DEU, Germany | GHA, Ghana | GIB, Gibraltar | GRC, Greece | GRL, Greenland | GRD, Grenada | GLP, Guadeloupe | GUM, Guam | GTM, Guatemala | GGY, Guernsey | GIN, Guinea | GNB, Guinea-Bissau | GUY, Guyana | HTI, Haiti | HMD, Heard Island and McDonald Islands | VAT, Holy See (the) | HND, Honduras | HKG, Hong Kong | HUN, Hungary | ISL, Iceland | IND, India | IDN, Indonesia | IRN, Iran (Islamic Republic of) | IRQ, Iraq | IRL, Ireland | IMN, Isle of Man | ISR, Israel | ITA, Italy | JAM, Jamaica | JPN, Japan | JEY, Jersey | JOR, Jordan | KAZ, Kazakhstan | KEN, Kenya | KIR, Kiribati | PRK, Korea (the Democratic People's Republic of) | KOR, Korea (the Republic of) | KWT, Kuwait | KGZ, Kyrgyzstan | LAO, Lao People's Democratic Republic (the) | LVA, Latvia | LBN, Lebanon | LSO, Lesotho | LBR, Liberia | LBY, Libya | LIE, Liechtenstein | LTU, Lithuania | LUX, Luxembourg | MAC, Macao | MKD, Macedonia (the former Yugoslav Republic of) | MDG, Madagascar | MWI, Malawi | MYS, Malaysia | MDV, Maldives | MLI, Mali | MLT, Malta | MHL, Marshall Islands (the) | MTQ, Martinique | MRT, Mauritania | MUS, Mauritius | MYT, Mayotte | MEX, Mexico | FSM, Micronesia (Federated States of) | MDA, Moldova (the Republic of) | MCO, Monaco | MNG, Mongolia | MNE, Montenegro | MSR, Montserrat | MAR, Morocco | MOZ, Mozambique | MMR, Myanmar | NAM, Namibia | NRU, Nauru | NPL, Nepal | NLD, Netherlands (the) | NCL, New Caledonia | NZL, New Zealand | NIC, Nicaragua | NER, Niger (the) | NGA, Nigeria | NIU, Niue | NFK, Norfolk Island | MNP, Northern Mariana Islands (the) | NOR, Norway | OMN, Oman | PAK, Pakistan | PLW, Palau | PSE, Palestine, State of | PAN, Panama | PNG, Papua New Guinea | PRY, Paraguay | PER, Peru | PHL, Philippines (the) | PCN, Pitcairn | POL, Poland | PRT, Portugal | PRI, Puerto Rico | QAT, Qatar | REU, Réunion | ROU, Romania | RUS, Russian Federation (the) | RWA, Rwanda | BLM, Saint Barthélemy | SHN, Saint Helena, Ascension and Tristan da Cunha | KNA, Saint Kitts and Nevis | LCA, Saint Lucia | MAF, Saint Martin (French part) | SPM, Saint Pierre and Miquelon | VCT, Saint Vincent and the Grenadines | WSM, Samoa | SMR, San Marino | STP, Sao Tome and Principe | SAU, Saudi Arabia | SEN, Senegal | SRB, Serbia | SYC, Seychelles | SLE, Sierra Leone | SGP, Singapore | SXM, Sint Maarten (Dutch part) | SVK, Slovakia | SVN, Slovenia | SLB, Solomon Islands | SOM, Somalia | ZAF, South Africa | SGS, South Georgia and the South Sandwich Islands | SSD, South Sudan | ESP, Spain | LKA, Sri Lanka | SDN, Sudan (the) | SUR, Suriname | SJM, Svalbard and Jan Mayen | SWE, Sweden | CHE, Switzerland | SYR, Syrian Arab Republic | TWN, Taiwan (Province of China) | TJK, Tajikistan | TZA, Tanzania, United Republic of | THA, Thailand | TLS, Timor-Leste | TGO, Togo | TKL, Tokelau | TON, Tonga | TTO, Trinidad and Tobago | TUN, Tunisia | TUR, Turkey | TKM, Turkmenistan | TCA, Turks and Caicos Islands (the) | TUV, Tuvalu | UGA, Uganda | UKR, Ukraine | ARE, United Arab Emirates (the) | GBR, United Kingdom of Great Britain and Northern Ireland (the) | UMI, United States Minor Outlying Islands (the) | USA, United States of America (the) | URY, Uruguay | UZB, Uzbekistan | VUT, Vanuatu | VEN, Venezuela (Bolivarian Republic of) | VNM, Viet Nam | VGB, Virgin Islands (British) | VIR, Virgin Islands (U.S.) | WLF, Wallis and Futuna | ESH, Western Sahara | YEM, Yemen | ZMB, Zambia | ZWE, Zimbabwe","<a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-3"">Coded as 3-letter ISO code (on back end)</a>",autocomplete,,,,,,,,,,
province,tblcenter,,text,PROVINCE,,,,,,,,,,,,,
district,tblcenter,,text,DISTRICT,,,,,,,,,,,,,
city,tblcenter,,text,CITY,,,,,,,,,,,,,
geocode_lat,tblcenter,,text,"Geocode - Latitude (GEOCODE_LAT)
<div style=""font-weight:lighter;font-style:italic"">Approximated geocodes (fewer decimal points) are acceptable. 
Example look-up website: <a target=""_blank"" href=""https://itouchmap.com/latlong.html"">iTouchMap</a> </div>",,,,,,,,,,,,,
geocode_lon,tblcenter,,text,"Geocode - Longitude (GEOCODE_LON)",,,,,,,,,,,,,
open_d,tblcenter,"Site Metadata",text,"Database Open Date (OPEN_D)
<div style=""font-weight:lighter;font-style:italic"">(optional) earliest date for which data were included for this site</div>",,,date_ymd,,,,,,,,,,
close_d,tblcenter,,text,"Database Closing Date (CLOSE_D)",,,date_ymd,,,,,,,,,,
add_center,tblcenter,,text,"Site Inclusion Date (ADD_CENTER_D)
<div style=""font-weight:lighter;font-style:italic"">Date that the site was added to IeDEA</div>",,,date_ymd,,,,,,,,,,
